parameter_type,original_item,vi_mean,vi_sd,min,max,all_nonzero_90,sign_stable
loading,2,-0.218015819066957,0.157864132272052,-0.34972051001,-0.03374081398454,FALSE,TRUE
loading,1,-0.164783049474175,0.0496139707636618,-0.200132136805,-0.09126292984196,FALSE,TRUE
loading,6,-0.128399539914697,0.0752733033581419,-0.2278033402376,-0.04489710554802,FALSE,TRUE
loading,8,-0.0840027686637318,0.0731468369215699,-0.1471117936347,-0.009265923460314,FALSE,TRUE
loading,7,-0.0383223711216052,0.0632858530789202,-0.115989449252413,0.03490590360614,FALSE,FALSE
loading,3,0.035676502031265,0.173135857057706,-0.11782895495139,0.206347282385,FALSE,FALSE
loading,4,-0.03328170879444,0.143113934257033,-0.18039426145937,0.112125890611,FALSE,FALSE
loading,5,0.018660880270065,0.235448394589232,-0.24179878511331,0.24694144211,FALSE,FALSE
