predictor,vi_mean,vi_sd,min,max,all_nonzero_90,sign_stable
age_between,-0.0244029947667653,0.025567660201479,-0.0604233749528,-0.00357119749826373,FALSE,TRUE
discrim_between,1.479376873725,0.197650676494572,1.2579926096,1.6821245489,TRUE,TRUE
discrim_within,-0.7352380818025,0.380902458146636,-1.27351582385,-0.41483239632,TRUE,TRUE
income_between,-0.128261902693359,0.101466251144891,-0.221663990825,-0.0389253119065331,TRUE,TRUE
income_within,0.382559651315,0.0230659209485446,0.35026878322,0.40065294478,TRUE,TRUE
korean_between,-0.9781966077025,0.374999358168089,-1.4314451324,-0.58493922604,TRUE,TRUE
korean_within,0.230456987321297,0.525438420695204,-0.33249686595,0.68063760994,TRUE,FALSE
